station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,add,lon,lat,open_ymd,close_ymd,e_status,e_sort
1110101,1110101,HAKODATE,,,11101,1,hokkaido hakodate-shi wakamatsucho,140.726413,41.773709,12/10/1902,,0,1110101
1110102,1110102,GORYOKAKU,,,11101,1,hokkaido hakodate-shi kameda honcho,140.733539,41.803557,,,0,1110102
1110103,1110103,KIKYO,,,11101,1,hokkaido hakodate-shi ,140.722952,41.846457,12/10/1902,,0,1110103
1110104,1110104,ONAKAYAMA,,,11101,1,hokkaido nanae-cho kameda-gun onakayama,140.71358,41.864641,,,0,1110104
1110105,1110105,NANAE,,,11101,1,hokkaido nanae-cho kameda-gun honcho,140.688556,41.886971,,,0,1110105
1110106,1110106,OSHIMAONO,,,11101,1,hokkaido hokuto-shi ichinowatari,140.646525,41.9054,,,0,1110106
1110107,1110107,NIYAMA,,,11101,1,hokkaido nanae-cho kameda-gun niyama,140.635183,41.930011,,,0,1110107
1110108,1110108,ONUMA,,,11101,1,hokkaido nanae-cho kameda-gun onumacho,140.669347,41.971954,6/28/1903,,0,1110108
1110109,1110109,ONUMAKOEN,,,11101,1,hokkaido nanae-cho kameda-gun onumacho,140.669758,41.980958,6/5/1907,,0,1110109
1110110,1110110,AKAIGAWA,,,11101,1,hokkaido mori-machi kayabe-gun akaigawa,140.642678,42.003267,,,0,1110110
1110111,1110111,KOMAGATAKE,,,11101,1,hokkaido mori-machi kayabe-gun,140.610476,42.038809,,,0,1110111
1110112,1110112,HIGASHIYAMA,,,11101,1,hokkaido mori-machi kayabe-gun komagatake,140.605222,42.06172,,,0,1110112
1110113,1110113,HIMEKAWA,,,11101,1,hokkaido mori-machi kayabe-gun himekawa,140.591632,42.081312,,,0,1110113
1110114,1110114,IKEDAEN,,,11101,1,hokkaido nanae-cho kameda-gun ikusagawa,140.700333,41.990692,,,0,1110114
1110115,1110115,NAGAREYAMAONSEN,,,11101,1,hokkaido nanae-cho kameda-gun higashionuma,140.716358,42.003483,,,0,1110115
1110116,1110116,CHOSHIGUCHI,,,11101,1,hokkaido nanae-cho kameda-gun higashionuma,140.720656,42.015471,,,0,1110116
1110117,1110117,SHIKABE,,,11101,1,hokkaido shikabe-cho kayabe-gun hombetsu,140.771393,42.06439,,,0,1110117
1110118,1110118,OSHIMANUMAJIRI,,,11101,1,hokkaido mori-machi kayabe-gun sawarahigashi,140.747596,42.10706,,,0,1110118
1110119,1110119,OSHIMASAWARA,,,11101,1,hokkaido mori-machi kayabe-gun sawara,140.689451,42.12164,,,0,1110119
1110120,1110120,KAKARIMA,,,11101,1,hokkaido mori-machi kayabe-gun sawaranishi,140.64598,42.119205,,,0,1110120
1110121,1110121,OSHIRONAI,,,11101,1,hokkaido mori-machi kayabe-gun oshironaicho,140.613449,42.111232,,,0,1110121
1110122,1110122,HIGASHIMORI,,,11101,1,hokkaido mori-machi kayabe-gun minatomachi,140.59353,42.106823,,,0,1110122
1110123,1110123,MORI,,,11101,1,hokkaido mori-machi kayabe-gun honcho,140.573846,42.108917,,,0,1110123
1110124,1110124,KATSURAGAWA,,,11101,1,hokkaido mori-machi kayabe-gun washinokicho,140.5427876,42.1156004,,,0,1110124
1110125,1110125,ISHITANI,,,11101,1,hokkaido mori-machi kayabe-gun honkayabecho,140.506525,42.135519,,,0,1110125
